Timestamp,Resistance,Interval,Temperature,OldTimestamp
2019-05-10 09:16:00.900,428,0.66368,32.83,1557479760900
2019-05-10 09:18:31.400,425,0.647088,33.18,1557479911400
2019-05-10 09:23:02.100,410,0.978928,33.54,1557480182100
2019-05-10 09:35:34.100,340330,1.028704,36.07,1557480934100
2019-05-10 09:36:34.300,340330,0.895968,36.13,1557480994300
2019-05-10 10:03:08.700,560,0.116144,29.08,1557482588700
2019-05-10 10:38:14.400,450,1.16144,31.45,1557484694400
2019-05-10 11:52:26.500,252,0.978928,30.56,1557489146500
2019-05-10 11:55:27.000,287,0.813008,30.44,1557489327000
2019-05-10 12:22:01.300,117,0.763232,30.65,1557490921300
2019-05-10 12:32:32.900,467,0.929152,30.84,1557491552900
2019-05-10 12:41:34.500,394,0.713456,30.82,1557492094500
2019-05-10 12:56:37.000,468,1.111664,30.65,1557492997000
2019-05-10 13:08:38.900,718,0.91256,27.15,1557493718900
2019-05-11 03:30:29.900,1634,0.763232,30.8,1557545429900
2019-05-11 03:38:01.100,1978,0.696864,31.02,1557545881100
2019-05-11 04:00:04.700,4139,0.862784,30.85,1557547204700
2019-05-11 04:05:35.600,2093,0.713456,30.65,1557547535600
2019-05-11 04:11:06.500,1775,0.16592,30.59,1557547866500
2019-05-11 04:12:06.700,1917,0.647088,30.48,1557547926700
2019-05-11 04:23:08.500,1826,1.260992,30.91,1557548588500
2019-05-11 04:41:11.400,202,0.862784,31.11,1557549671400
2019-05-11 04:52:13.200,1166,0.796416,32.13,1557550333200
2019-05-11 05:14:46.900,1166,0.66368,32.29,1557551686900
2019-05-11 05:20:17.800,1064,0.796416,32.31,1557552017800
2019-05-11 05:52:53.100,11374,0.547536,32.39,1557553973100
2019-05-11 06:03:54.900,3442,0.464576,32.29,1557554634900
2019-05-11 06:09:25.800,2703,0.978928,32.54,1557554965800
2019-05-11 06:14:26.600,2150,0.8296,32.52,1557555266600
2019-05-11 06:15:26.800,3905,0.945744,32.25,1557555326800
2019-05-11 06:19:57.500,3196,0.763232,32.52,1557555597500
2019-05-11 06:22:58.000,2871,0.929152,32.54,1557555778000
2019-05-11 06:31:29.400,3120,0.879376,33.1,1557556289400
2019-05-11 07:12:06.100,3746,0.8296,31.43,1557558726100
2019-05-11 07:13:06.300,2605,0.91256,31.78,1557558786300
2019-05-11 07:15:06.600,4191,0.58072,32.65,1557558906600
2019-05-11 07:15:36.700,3432,0.597312,32.65,1557558936700
2019-05-11 07:16:36.800,3390,0.879376,32.52,1557558996800
2019-05-11 07:19:37.300,1629,0.8296,32.32,1557559177300
2019-05-11 07:22:37.800,339,0.530944,32.85,1557559357800
2019-05-11 07:25:08.200,269,0.763232,32.15,1557559508200
2019-05-11 07:27:38.600,207,1.028704,32.05,1557559658600
2019-05-11 07:33:09.500,203,0.696864,32.17,1557559989500
2019-05-11 07:40:40.800,248,0.696864,32.64,1557560440800
2019-05-11 07:49:42.200,361,0.696864,32.76,1557560982200
2019-05-11 07:54:43.000,375,0.647088,32.68,1557561283000
2019-05-11 08:01:14.100,594,0.74664,32.61,1557561674100
2019-05-11 08:08:45.300,465,0.895968,32.3,1557562125300
